378.52,364.36,264.61,340.02,338.48,413.22,301.84,371.86,387.35,394.35,438.31,540.63,580.69,370.46,291.53,641.2,718.51,779.88,498.73,1064.46
358.58,361.98,233.6,331.76,332.53,394.48,295.66,374.61,375.23,392.34,420.16,508.13,543.88,358.85,284.61,622.68,710.85,772.74,320.93,1043.4
332.46,354.84,228.91,324.25,325.76,372.02,294.47,387.92,364.59,399.92,418.15,487.83,527,348.52,237.39,618.74,680.59,770.14,295.5,973.4
319.37,346.65,223.04,319.05,326.65,364.66,286.07,393.35,367.57,421.79,423.51,491.47,505.22,343.68,278.89,624.39,675.83,779.65,391.72,967.37
300.54,357.07,236.2,315.11,327.7,364.36,279.52,409.78,365.63,451.61,461.06,515.49,532.28,346.95,378.39,659.64,712.34,818.02,482.44,1031.87
299.13,383.25,281.94,313.4,367.18,394.7,257.36,515.17,358.49,595.42,587.41,601.68,613.78,372.84,537.17,766.81,910.58,1130.85,634.06,1264.36
294.89,468.43,306.4,316.3,438.64,437.98,256.76,640.26,367.27,702.43,637.98,663.85,718.26,391.28,612.73,884.98,1011.26,1196.66,654.81,1443.28
298.31,579.79,415.8,324.33,498.5,519.78,247.91,714.71,377.46,754.86,647.72,687.87,721.76,398.87,646.28,927.67,1001.59,1239.64,673.84,1711.78
307.09,699.78,417.07,341.88,496.34,506.24,233.48,475.97,357.53,644.43,581.53,629.05,649.11,395.15,588.49,847.8,915.56,1167.44,687.23,1629.94
333.95,727.23,417.07,345.08,432.76,433.96,151.51,383.68,343.4,609.78,483,553.57,571.1,391.36,487.05,795.66,810.71,1099.99,613.98,1544.61
334.85,674.63,401.82,343.07,368.15,353.14,120.87,375.57,343.03,608.74,454.37,590.15,468.7,374.18,476.93,780.86,736.28,1041.47,530.4,1450.72
351.22,646.96,423.69,339.8,332.53,337.15,134.41,367.91,326.52,580.18,432.28,611.12,441.19,362.2,464.22,737.06,666.39,883.68,445.71,1168.02
377.85,589.53,403.9,329.31,328.29,326.51,44.7,368.21,256.02,535.41,417.34,491.17,430.18,323.38,455.29,669.31,657.91,869.26,386.82,1175.46
338.49,570.12,385.16,316.37,317.95,321.53,15.02,349.47,245.91,475.92,411.98,484.85,428.62,299.5,456.78,633.47,657.24,884.87,365.77,1193.83
332.84,573.84,341.51,308.64,321.15,320.71,0.74,341.81,204.27,451.83,423.21,492.66,429.14,323.53,408.81,630.72,668.62,1053.15,470.54,1249.26
346.68,572.65,324.4,318.15,333.87,324.43,7.51,343.59,19.48,442.83,432.28,531.7,439.18,348.52,423.54,669.39,686.46,1122.3,563.34,1420.96
394.3,609.99,312.43,334.67,349.33,315.36,53.41,359.96,265.99,526.42,524.87,607.55,545.45,398.12,557.48,768.3,884.92,1182.98,632.87,1919.34
448.39,740.17,357.05,401.37,419.08,318.48,88.89,372.6,375.67,579.73,590.16,639.6,680.11,546.35,679.52,842.37,978.32,1364.12,649.97,2040.91
451,729.16,396.02,462.58,503.25,313.65,97.14,402.57,415.68,637.81,644.74,722.74,743.17,688.7,765.34,931.24,1070.22,1493.72,648.63,1755.75
449.14,706.77,378.25,424.65,520.51,309.34,86.73,359.44,499.04,661.24,633.14,713,769.42,769.55,800.3,938.08,1066.13,1436.69,640.53,1509.87
427.11,574.28,325.07,359.5,447.78,287.62,78.32,402.2,494.43,647.26,598.64,670.24,773.14,751.18,766.01,929.08,966.19,1196.51,634.8,1366.13
400.77,499.75,310.79,326.41,407.04,283.98,40.46,368.36,458.66,609.78,560.04,648.83,757.82,632.18,716.48,823.18,899.42,1094.19,644.17,1234.38
397.72,470.06,298.6,336.67,388.45,256.24,24.1,359.96,393.3,579.96,498.84,602.13,678.78,517.79,622.11,788.3,876.37,975.44,645.36,1079.26
369.97,412.26,264.09,318.3,288.58,179.36,0.37,481.16,403.93,505.67,483.37,607.91,612.27,438.84,547.74,762.36,848.82,908.95,855.4,1230.25




































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































